"Geography","CancerDeaths","medIncome","popEst2015","povertyPercent","MedianAge","AvgHouseholdSize","PercentMarried","PctUnemployed16_Over","BirthRate"
"Bergen County, New Jersey",147.3,84309,938506,7.6,41.5,2.73,54.2,6.5,4.077070131
"Montgomery County, Alabama",189.8,43054,226519,22.5,35.2,2.47,39.5,8.8,5.64778925
"Livingston County, Kentucky",211.7,42892,9316,14.1,45.9,2.44,61.1,6.7,1.418067227
"Nottoway County, Virginia",201.5,37996,15673,24.3,41.5,0.0254,42.7,10.8,7.331771008
"Jenkins County, Georgia",215,30678,8957,34.6,40.7,2.53,37.6,10.3,3.774792067
"Richland County, Ohio",186,41948,121707,15.9,41.3,2.4,48.2,8.7,4.974134501
"Hamilton County, Kansas",164.2,47709,2474,12.8,38,2.59,61.8,2.3,6.605504587
"Cherry County, Nebraska",148.7,43564,5848,13.3,43.9,2.14,68,2.6,4.047619048
"Gratiot County, Michigan",168.3,43509,41540,18.5,38.9,2.45,47.1,8.5,3.748722027
"Mahnomen County, Minnesota",215.7,39926,5457,19.6,36.3,2.71,46.3,9.2,8.348623853
"Greenup County, Kentucky",211.9,42452,36068,16.4,42.9,2.54,56.3,10.1,4.286441109
"Crane County, Texas",150.1,61098,5048,9.5,33.5,3.01,55.4,5.2,11.89138577
"Navajo County, Arizona",146.8,35457,108277,28.5,35.7,3.08,45,19.8,7.96636424
"Hubbard County, Minnesota",156,47944,20655,12.2,48,2.32,62.6,5,3.229308005
"Lorain County, Ohio",182.1,52331,305147,14.7,41,2.5,49.3,8.8,4.894050891
"Caldwell Parish, Louisiana",200.1,36350,9993,23.3,39.9,2.48,46.4,10.2,2.079107505
"Lincoln County, Nevada",127.4,45629,5036,15.1,37.4,2.55,56.8,11.8,4.519774011
"Baylor County, Texas",212.3,36027,3618,18.3,48.5,2.06,56.5,1.4,6.068601583
"Ramsey County, Minnesota",166.5,55070,538133,16.5,34.6,2.47,44,7.1,6.13624584
"Saline County, Kansas",175.6,48460,55691,13,37.7,2.42,48.9,5,6.843609637
"Kidder County, North Dakota",104.8,46923,2417,14.1,47,2.24,72.3,0.9,6.976744186
"Norton city, Virginia",197.3,31620,3939,21.6,39.3,2.21,43.1,11.1,3.938223938
"Otter Tail County, Minnesota",156.9,51510,57716,11.2,46.7,2.34,60.2,4.4,7.511606314
"Polk County, North Carolina",156.1,45464,20366,14.7,50.9,2.3,56.1,8.8,4.746227709
"Franklin County, Maine",167.5,41035,29991,15.8,44.9,0.0248,51.3,7.7,3.482221569
"Fremont County, Wyoming",169,48624,40315,14,38.2,2.61,49.6,7.8,6.7516967
"Codington County, South Dakota",166.4,52892,27939,10.3,38,2.28,51.6,2.9,7.09752839
"Hancock County, Maine",165.4,45807,54659,12.9,47.4,2.18,54.1,7.7,5.103569855
"Wyandot County, Ohio",190.6,47905,22243,10,42,2.38,55.9,6.6,4.962066844
"Douglas County, Illinois",177.5,52526,19823,10,38.3,2.58,57.7,6.1,6.28798504
"Ste. Genevieve County, Missouri",187.7,46874,17919,13.1,42.5,2.48,57.7,5.4,4.229447528
"Johnston County, North Carolina",184.9,50055,185660,15.3,37.4,2.85,53.5,8.9,5.25474016
"Elmore County, Idaho",180,45049,25876,14.4,30.8,2.6,59.8,8.4,8.913784705
"York County, Nebraska",164.7,51335,13806,10.6,41.3,2.31,56.5,2,6.993486459
"Zapata County, Texas",112.5,33291,14374,32.6,29.2,3.16,52.3,12.2,9.67556704
"Coahoma County, Mississippi",266.7,28647,24620,35,33.5,2.62,31.4,20.3,6.156510786
"Henry County, Iowa",183.1,50347,19950,13.3,40.7,2.43,52.1,5.1,5.797101449
"Greeley County, Kansas",156.9,52795,1330,10.8,49.4,2.46,66.6,2.1,5.687203791
"Graham County, North Carolina",160.7,33824,8616,20.6,44.6,2.63,55.9,11.1,1.998889506
"Shawano County, Wisconsin",168,47841,41304,11.2,44.3,2.41,55.5,5.4,4.11444786
"Simpson County, Mississippi",183.7,34338,27222,25.9,37.7,2.77,46.2,10.9,5.577235772
"St. James Parish, Louisiana",201.2,47477,21567,16.1,38.8,2.69,46.7,11,4.363776791
"Bartholomew County, Indiana",185.4,54101,81162,11.8,38.1,2.57,54,5.4,5.180542459
"Lancaster County, Pennsylvania",157.6,57369,536624,10.5,38.4,2.64,54.8,6.1,6.226276831
"Guthrie County, Iowa",168.5,49507,10676,12.4,45.9,2.34,59.6,5.4,4.965920156
"Gallatin County, Montana",137.9,51569,100739,13.9,33.2,2.39,49.5,6.3,4.428705174
"Sweet Grass County, Montana",165.6,45000,3634,12,46.1,2.55,62.4,0.9,9.191759113
"Custer County, Oklahoma",205.2,45574,29744,15.9,30.7,2.63,50,3.7,5.712260808
"Winona County, Minnesota",166.8,49365,50885,15.8,33.9,2.46,45.1,6.2,4.802427113
"Pima County, Arizona",155.5,45871,1010025,18.7,38,2.49,44.9,10,5.501557741
"Clinton County, Missouri",196.5,51221,20609,12.4,41,2.48,58.2,5.8,6.863636364
"Hudson County, New Jersey",152.6,57720,674836,17.7,34.7,2.63,41.5,9.3,5.344239425
"Peoria County, Illinois",194.4,52448,186221,16.7,36.8,2.39,46.3,8.7,6.690267073
"Cecil County, Maryland",195.5,62198,102382,10.6,40.1,0.0273,52.5,7.5,4.297102051
"Pershing County, Nevada",121.8,52001,6634,18.5,41.3,2.29,44.8,9.5,14.62113127
"Hot Springs County, Wyoming",163,44427,4741,10.9,49.6,2.15,55.9,3.3,11.20381406
"Delaware County, Indiana",184.8,39449,116852,22.2,34.8,2.4,42.1,10.1,3.877479319
"Floyd County, Kentucky",248.2,30127,37756,31.1,40.5,2.45,50.1,9.7,4.732510288
"Maui County, Hawaii",139.9,64916,164637,13.1,40,2.96,50.2,6.9,6.34729556
"Mississippi County, Missouri",270.5,30661,14036,32.2,39.3,2.41,41.6,12.2,5.214497041
"DeKalb County, Illinois",171.7,56536,104352,14.7,30.3,2.65,41.4,10.4,4.533178353
"Cheshire County, New Hampshire",162.8,56008,75909,11.8,42,2.34,48.4,6.1,4.687933426
"Bedford County, Tennessee",184.4,42252,47183,19.1,36.6,2.72,54.2,7.7,4.9190879
"Knox County, Maine",169.4,50002,39855,13.9,47.2,2.27,51.5,5.7,4.550819672
"Madison County, Virginia",169.8,52513,13134,12.3,44.6,2.58,52.2,6.6,6.25698324
"Yankton County, South Dakota",137.1,47363,22702,13.8,40.8,2.33,51.1,3.6,6.329660834
"Vanderburgh County, Indiana",182.7,42622,181877,17.7,37.8,2.35,46.6,6.2,4.541089313
"Hillsborough County, New Hampshire",163.2,71233,406678,8.7,40.1,2.55,51.4,5.9,5.055576216
"Huron County, Ohio",206.3,47824,58469,13.4,38.8,2.58,53.1,7.2,4.663965135
"White County, Indiana",206.3,50731,24293,11.2,42,2.53,57.8,6,6.172839506
"Dunn County, Wisconsin",155.6,52224,44497,13.9,34.1,2.48,47.6,6.1,5.116736739
"Sac County, Iowa",174.1,49513,10021,10.8,46.1,2.25,59.3,4,8.116710875
"Clay County, Iowa",171.5,51514,16507,11.5,42.2,2.27,55.6,3.8,4.909253198
"McCone County, Montana",130.6,43132,1683,15.4,51.2,2.31,66.3,0.8,8.620689655
"Inyo County, California",138.1,49267,18260,14,45.7,2.23,46.8,6.8,4.535082715
"Juneau County, Wisconsin",174,45158,26224,13.1,44.4,2.48,48.5,7.1,4.951690821
"Carson County, Texas",136.9,58425,5969,8.6,40.7,2.62,58,1.7,6.235912847
"Highland County, Virginia",111.3,38636,2214,14.6,59,2.1,63.1,1.1,10.79136691
"DeKalb County, Tennessee",202.8,38595,19182,20.1,41,2.7,50.1,7.6,6.303030303
"Choctaw County, Alabama",137.6,35049,13170,25,44.9,2.37,48.3,13.6,4.317548747
"Webster County, Missouri",166.7,41561,37483,17.8,38.1,2.78,57.6,6.3,7.851851852
"Knox County, Kentucky",224.6,26048,31730,34.9,39.2,2.5,47.5,15.7,4.863950374
"Coweta County, Georgia",169.3,60809,138427,12.5,37.6,2.73,57.8,7,6.63071161
"Saline County, Nebraska",181.9,51805,14282,10.1,36.6,2.61,52,3.4,3.0621435
"Arapahoe County, Colorado",140.1,65359,631096,11.2,36.1,2.63,50.5,7.2,5.782071504
"San Juan County, Utah",123.9,40590,15772,29.2,30.6,3.75,44.4,8.4,4.937906564
"Tillman County, Oklahoma",166.1,35274,7515,23.8,40.5,2.4,52.4,7.1,6.093432634
"Fond du Lac County, Wisconsin",159.4,52149,101973,9.9,41,2.4,54.8,5.3,4.541733098
"Clay County, Tennessee",217,30744,7771,24,46.9,2.37,59.9,7.2,2.134146341
"San Juan County, New Mexico",136.7,47520,118737,21,34.2,3.04,46.6,9.2,6.09617959
"Catron County, New Mexico",164.7,33256,3456,22.2,57.1,2.44,49.4,4.6,0.689655172
"Madison County, Alabama",164.7,58833,353089,14.2,37.8,2.46,49.8,8.5,5.111191026
"Hart County, Kentucky",243.5,38038,18454,23,40.9,2.49,56.7,9.6,8.986232791
"Stewart County, Georgia",228.8,27635,5851,39.4,38,2.48,23.1,14.5,2.584269663
"Pickett County, Tennessee",160,31996,5146,19.2,49.4,2.25,66.7,4.9,8.686210641
"Yamhill County, Oregon",168.6,52903,102659,15.4,38.2,2.78,51.9,9.7,4.397120317
"Windham County, Vermont",183.7,49616,43386,12.9,45.8,2.21,50.7,6.8,3.546703589
"Cuyahoga County, Ohio",187.1,44138,1255921,19.6,40.4,2.31,40.5,10.6,4.879604208
"Lunenburg County, Virginia",189.8,37548,12299,22.4,44.7,2.48,45.7,7.3,7.48049564
"Greene County, Iowa",186.9,49125,9027,13.2,45.1,2.3,61,5.6,9.971346705
"Chelan County, Washington",154.7,49174,75644,14,39.3,2.7,52.3,7.5,4.217134885
"Lac qui Parle County, Minnesota",145.6,48245,6856,10.4,49.8,2.24,61.2,3.7,6.786941581
"Cherokee County, Iowa",135.4,52894,11574,9.6,46.6,2.14,55.2,3.7,3.505447655
"McIntosh County, Georgia",143.9,37603,13969,23.3,47.6,2.63,47.8,8.8,2.708877285
"King George County, Virginia",195.7,76206,25515,7.5,36.6,2.96,56.6,7.4,6.194544857
"Bladen County, North Carolina",161.4,33521,34318,25.6,42.6,2.37,45.9,12.1,6.97029703
"Windham County, Connecticut",172.2,57547,116573,10.3,40.4,2.53,46.9,9.3,3.936336507
"Clayton County, Iowa",168.3,49018,17644,10.8,45.4,2.3,58.6,4.2,5.962622367
"Thurston County, Washington",169.9,61653,269536,11.9,38.5,2.52,52.4,8.5,5.180155167
"Clark County, South Dakota",138.4,48024,3659,13.8,44,2.21,55.6,2.8,6.386292835
"Weston County, Wyoming",182.6,55520,7234,13.2,42.1,2.27,58,5.2,17.40104556
"Warren County, New York",177.9,54585,64688,13.3,45.2,2.4,48.4,6.6,3.57092349
"Lumpkin County, Georgia",158.1,44653,31408,18.6,36,2.66,47.5,8.2,3.509433962
"Throckmorton County, Texas",200.7,43618,1579,14.2,49.6,2.17,56.3,2.6,7.986111111
"Pendleton County, West Virginia",139.8,38204,7229,16.7,49.1,2.35,55.3,4.9,7.611940299
"Saline County, Missouri",205.8,41112,23258,16.3,38.2,2.48,47.8,5.5,6.003068661
"Henry County, Virginia",194.2,34842,51881,20.5,46,2.32,52,10,6.007452513
"Fremont County, Iowa",181.2,54154,6906,11.7,46.4,2.36,59.4,3.7,6.004618938
"Barren County, Kentucky",192,37666,43570,19.5,40.4,2.48,55.8,7.6,5.4866708
"Live Oak County, Texas",147.1,51481,12229,15.5,42,2.78,50.6,4.3,10.60674157
"Mills County, Texas",135.8,38564,4900,17.1,45.5,2.55,62.2,3.6,1.503759399
"Keokuk County, Iowa",169.3,48316,10163,13.5,44.3,2.33,56.9,5.1,5.769230769
"Washington County, Vermont",165.8,58673,58612,11,43.2,2.32,49.5,4.8,2.874885005
"Broadwater County, Montana",163.7,49758,5689,11.7,45.8,2.32,64.6,4.5,3.515263645
"Houston County, Minnesota",141.8,59900,18773,8.4,45,2.35,58.1,4.9,3.366021733
"Camp County, Texas",182.2,37801,12682,23.9,37.8,2.81,50.3,8.5,9.097345133
"Bourbon County, Kansas",166.6,38430,14712,18.4,37.3,2.54,53.2,3.3,12.15989251
"Lancaster County, Nebraska",153.5,52011,306468,14,32.9,2.42,47.4,5.1,6.17570233
"Monroe County, Missouri",140.3,41376,8583,15.8,44.8,2.43,57,5.9,4.179104478
"Stafford County, Virginia",175.6,92647,142003,5.9,34.7,3.08,57.4,5.5,4.970818505
"Santa Fe County, New Mexico",126.1,52628,148686,14.2,44.4,2.35,47.6,7.9,4.017424976
"Nowata County, Oklahoma",189.7,39706,10539,16.1,41.4,2.56,53.7,8.4,3.337783712
"Isanti County, Minnesota",177.3,65342,38429,7.8,39.5,2.68,53.6,7.3,5.876216968
"Polk County, Florida",168.1,42768,650092,18.1,40.3,2.77,48.3,10.6,5.501541209
"Dawson County, Nebraska",139.7,47366,23886,13.7,36.2,2.71,56.6,4.8,8.05433327
"Gage County, Nebraska",165.2,50861,21900,11,44.6,2.3,57.8,4.3,6.416861827
"Van Buren County, Arkansas",178.9,32975,16771,22,47.1,2.44,53.3,11.2,4.153846154
"Powell County, Kentucky",292.5,32783,12269,26.7,38.4,2.56,45.4,8.3,5.682216766
"Iberia Parish, Louisiana",205.9,45226,74103,19.4,35.8,0.0277,46,10.6,6.645642202
"Lander County, Nevada",123.8,74347,5903,11,37.2,2.79,54.3,12,11.63179916
"Beauregard Parish, Louisiana",198.3,43918,36462,18.9,37.5,2.69,55,5.7,3.558718861
"Washington County, Alabama",212.2,41321,16804,18.5,40.9,2.75,52.4,20,6.039551042
"Ohio County, Kentucky",222.1,38261,24216,19.7,40.2,2.7,57.2,9.6,7.169811321
"York County, Maine",173.7,55482,201169,11.2,44.1,2.4,52.6,5.9,5.050755137
"Butler County, Kentucky",202.9,35219,12938,20.6,41.2,2.44,53.6,6.1,5.23255814
"Rhea County, Tennessee",193.5,37952,32526,22,40.5,2.51,50.9,11.1,6.638495093
"Talbot County, Maryland",161.9,54836,37512,11.7,49,2.3,54,6.7,3.328451604
"Fountain County, Indiana",211.7,45168,16591,14.6,42.3,2.4,55.3,8.6,5.674931129
"Dakota County, Nebraska",177.8,50289,20781,14.8,33.7,2.81,57.1,7.4,9.833738848
"Calhoun County, Illinois",152.3,49689,4899,12.1,46.9,2.37,65.4,5.4,6.910994764
"Tioga County, Pennsylvania",174.7,47360,41877,16.3,43,2.47,52.2,7.4,6.635885322
"Houston County, Georgia",174,53027,150033,17.2,34.8,2.72,51.7,9.7,5.666906226
"Garvin County, Oklahoma",227.9,40774,27755,19.2,39.5,2.57,53,4.4,6.713239053
"Lake County, Tennessee",247.6,28524,7576,41.9,40.3,2.38,32.9,10.1,4.662698413
"Kalamazoo County, Michigan",171,46283,260263,18.9,34,2.47,44.3,9.1,4.426449927
"Jasper County, Texas",188.9,41017,35506,17.7,40.6,2.83,50.4,11.4,3.4164859
"Pulaski County, Arkansas",182.7,45698,392664,16.1,36.4,2.49,43.5,7.5,5.116648446
"Hennepin County, Minnesota",156.8,64490,1223149,13,36.1,2.39,47.2,6,5.881342381
"Park County, Colorado",137.9,58487,16510,9.4,49.4,2.2,59.2,5.6,4.06824147
"Yates County, New York",178.4,48368,25048,14.5,41.5,2.46,52.8,6.9,6.10380117
"Manassas city, Virginia",155.2,72510,41764,9.8,33.3,3.27,53.3,7.5,6.93416809
"Crosby County, Texas",174.1,36627,5977,24.1,38.2,2.71,53.8,10,4.238618524
"Goshen County, Wyoming",159.5,45721,13383,14.3,42.9,2.35,52.9,6.8,7.372914241
"Franklin city, Virginia",221.7,38583,8490,22.5,38,2.41,34.9,13.7,4.927099045
"Moore County, Texas",179.8,42839,22255,14.6,31.1,3.21,59,4.1,10.43646945
"Tooele County, Utah",146.7,64193,62952,8.1,30.7,3.25,59.4,7.1,6.916426513
"Lewis County, West Virginia",218.4,40568,16448,20,43.3,2.48,50.6,7.2,4.374100719
"Lincoln County, Nebraska",167,49770,35656,14.5,40.1,2.34,55.2,4.2,5.843469064
"Richmond County, New York",161.7,70299,474558,14.5,39.3,2.81,51.2,6.9,4.517034138
"Gallatin County, Kentucky",234.4,45483,8636,16.7,37.8,2.73,53,6,9.86273513
"Franklin County, Idaho",136.3,50545,13074,10.8,32.4,3.03,65,5,9.856115108
"Howard County, Texas",181.9,47299,37206,17.5,36.9,2.73,44.9,6.4,7.220420251
"Rowan County, Kentucky",235.2,37287,23892,23.4,32.2,2.44,41.6,6.5,4.886769964
"Missoula County, Montana",158.9,44716,114181,15.8,34.8,2.33,45.2,8.2,3.76216968
"Walworth County, Wisconsin",185.6,52852,102804,13.7,38.9,2.53,51.5,7.2,4.797917183
"Bibb County, Alabama",212.4,39546,22583,18.1,38.9,2.95,49,8.3,4.179860671
"Adams County, North Dakota",140,45710,2359,10.2,47.6,2.14,66.7,1.2,4.047619048
"Winn Parish, Louisiana",227.5,36644,14568,26.8,41.3,2.36,46.9,6.3,4.891661195
"Otero County, New Mexico",161.1,41736,64362,20.2,35.6,2.63,49.1,12.7,8.221797323
"Missaukee County, Michigan",190.2,40455,14903,16.1,43,2.52,56.8,11,4.809286899
"Pitt County, North Carolina",171.8,41765,175842,23.4,31.5,2.48,39.6,12.1,4.079871327
"Gordon County, Georgia",191.7,43880,56574,17.8,37,2.83,53.8,8.3,6.428197261
"Dickinson County, Iowa",156.1,56551,17111,7.4,48.7,2.14,63,3.8,7.152406417
"Southampton County, Virginia",181.8,46521,18109,15.3,45.4,2.53,48.3,7.2,5.455508475
"Lycoming County, Pennsylvania",178.5,45211,116048,16,496.8,2.42,49,7.7,5.48894218
"Bossier Parish, Louisiana",172.6,51138,125175,14.3,34.7,2.57,49,5.7,5.823193854
"Franklin County, New York",180.9,45704,50660,18.5,39.8,2.36,45,8.8,5.8605919
"Mercer County, West Virginia",210,35046,61164,20.5,42.3,2.39,50.6,5.1,4.807972069
"Hamilton County, New York",194.2,49137,4712,11.4,51.9,3.38,42.7,9.7,4.529616725
"Perry County, Kentucky",280.8,31265,27565,27.5,41.4,2.47,53.6,13.9,4.955913652
"Charles County, Maryland",186.7,86703,156118,7.2,37.7,2.84,50,6.3,4.693221178
"Sussex County, Delaware",168.7,53316,215622,13.9,47,2.52,51.1,8,5.256787135
"Mason County, Illinois",204.9,46878,13701,14.8,44.7,2.27,52.4,9.5,4.758547762
"Kiowa County, Oklahoma",226.1,36699,9144,19.1,43,2.31,54.1,5.5,3.922594142
"Esmeralda County, Nevada",262.1,47180,829,14,46.5,2.35,44.3,11.9,4.326923077
"Benton County, Missouri",209.6,33236,18670,19.5,52.5,2.28,56.9,10.2,2.363989637
"Clinton County, Iowa",191.8,48528,47768,12.9,42.1,2.36,52.1,4.8,4.6635126
"Jasper County, Illinois",174.1,52919,9607,11,42.9,2.53,59.2,5.5,6.095143707
"Franklin County, Iowa",165.3,51045,10295,12.1,42.8,2.42,57.6,4.2,2.411347518
"Tehama County, California",174,40782,63308,18.2,40.5,2.63,51.4,13.2,4.096971483
"Henderson County, Illinois",178.2,50999,6995,11.7,49.1,2.26,57.3,7,3.706395349
"Antrim County, Michigan",167.7,45743,23154,13,49.5,2.38,60.1,9.7,3.888098625
"Delta County, Texas",184.1,38304,5217,20,43.5,2.67,58.1,13.6,11.27029608
"Orleans County, Vermont",172,42089,27100,16.2,44.8,2.35,51.6,5.6,4.689807976
"Hunterdon County, New Jersey",145.1,103876,125488,4.7,45,2.6,57.7,5.9,4.22223833
"Nevada County, California",144.9,57118,98877,11.4,49,2.38,53.6,9.8,4.079089924
"Sumter County, Florida",142.9,51907,118891,10.9,65.3,2.05,62.6,9,6.766413577
"Catahoula Parish, Louisiana",224.9,34116,10147,23.3,38.5,2.48,48.2,8.3,2.469135802
"Jackson County, Oklahoma",209.2,41370,25574,17.2,34.1,2.48,51.9,7.6,6.363038474
"Culpeper County, Virginia",187.1,62394,49432,11,38.9,2.83,55.9,7.3,4.025191676
"Idaho County, Idaho",162,39551,16272,16.3,48.9,2.38,58.4,6.4,5.367647059
"Montgomery County, Tennessee",195.4,50935,193479,13.9,30.3,2.76,54.2,9.7,6.724977636
"Tipton County, Tennessee",208.4,52339,61870,15.4,37,2.82,51.9,10.6,6.760732914
"Lubbock County, Texas",163.7,45719,299453,17.7,30.6,2.59,43.5,6.2,5.340021423
"St. Clair County, Missouri",178.8,33986,9440,21.7,49.7,2.31,53.6,9.3,3.829787234
"Cumberland County, North Carolina",186.1,42582,323838,17.6,31.1,2.56,46.9,12.6,5.883459752
"Mercer County, Kentucky",206.3,43945,21407,17.6,42.6,0.024,56.4,11.5,5.675616678
"Giles County, Tennessee",199.9,41326,28946,16.9,42.9,2.49,52.4,9.9,4.447587616
"Ward County, North Dakota",162.4,62526,71275,8.5,31.1,2.49,50.8,2.6,7.89058058
"Dent County, Missouri",200.1,34411,15593,21.6,43.4,2.6,51.8,9.2,6.869058571
"Stephens County, Texas",211.3,44110,9440,20.8,39.3,2.55,55.7,3.9,5.472636816
"Johnson County, Iowa",156.2,59946,144251,15.9,29.8,2.37,43.4,3.5,4.117879551
"Garden County, Nebraska",128.2,38645,1918,15.6,52.3,2.1,62.9,3.1,4.705882353
"James City County, Virginia",149,75926,73147,7.9,45.4,2.49,58.3,5.1,4.819607038
"Madison County, Indiana",195.2,44730,129723,16.7,39.8,2.41,48.4,9.3,4.977235099
"Miner County, South Dakota",183.1,49159,2236,12.4,43.5,2.24,60.6,4.1,10.3626943
"Dade County, Missouri",194.1,37173,7595,18.5,47.1,2.34,54.7,7.9,3.627311522
"Wheeler County, Georgia",179.9,30264,7903,38.9,38.4,2.16,34.6,10,5.070993915
"Greenville County, South Carolina",175.4,49659,491863,14.7,37.7,2.58,50.5,7.6,5.183355631
"Flagler County, Florida",174.6,51556,105392,11.6,49.6,0.0271,54.2,9.3,4.063558218
"Genesee County, Michigan",192.1,41787,410849,21.5,39.6,2.48,44.6,13.2,4.863978687
"Livingston Parish, Louisiana",186.5,58818,137788,12.3,35.3,2.79,52.2,7,5.711293942
"Liberty County, Texas",203.2,47123,79654,17.4,36.4,2.82,51.5,11.5,6.112482007
"Navarro County, Texas",201.9,43091,48323,20.3,38.2,2.7,51.5,10.9,7.936654936
"Washington County, Minnesota",152.1,84113,251597,6,38.9,2.67,57.2,4.8,5.104712042
"Jackson County, Alabama",211.1,36923,52419,22,42.2,2.56,55.3,10.1,4.011185878
"Texas County, Oklahoma",153.1,49780,21489,13.6,31.5,2.93,54.9,3.5,4.818560381
"Bristol city, Virginia",226.6,34099,17141,21.8,41.8,2.22,46.2,10.7,3.86837478
"Bethel Census Area, Alaska",218.8,45808,17946,23.8,26.7,3.86,39,17.6,9.156279962
"Kandiyohi County, Minnesota",147.5,57405,42542,11.5,39.9,2.48,57.7,4.8,5.730234678
"Woodruff County, Arkansas",215.9,29969,6741,25.1,43.9,2.36,42.1,12.4,5.860805861
"Southeast Fairbanks Census Area, Alaska",184.3,59641,6839,13.8,35.8,3.11,54,9.4,7.23729993
"Jackson County, North Carolina",177.2,38130,41265,23.5,36.8,2.33,45.1,6.2,3.120443278
"Burke County, North Carolina",188,39275,88842,20.5,42.9,2.53,48.1,11.6,4.608459925
"Chase County, Nebraska",172.1,52749,3956,9.3,44.9,2.25,66.5,0.7,7.489597781
"Orange County, Vermont",175.5,53025,28899,12.8,45,2.32,54.4,4.5,4.652301665
"Beaver County, Utah",168.7,50818,6354,9.8,33,2.84,60.8,3.8,12.66766021
"Lewis County, Kentucky",239.3,30217,13682,34.4,40.8,2.54,55.1,8.4,3.777923784
"Deaf Smith County, Texas",180.8,41499,18952,19.2,31.5,3.05,53.9,5.4,9.004952724
"Pender County, North Carolina",169.8,45453,57611,15.4,42.1,2.67,51.7,9.8,3.014449427
"Lenawee County, Michigan",177.6,48194,98573,14.5,40.9,2.46,50,8.6,4.630064868
"Benton County, Iowa",163.2,61931,25658,8.8,41.4,2.51,61.8,4.7,6.183093392
"Clinton County, Pennsylvania",196.6,44224,39441,17.4,38.1,2.52,48.4,6.1,4.785376874
"Harney County, Oregon",162.7,36340,7200,21.3,46.2,2.32,61.4,16.1,8.321273517
"Phelps County, Nebraska",173.5,54137,9296,9.5,42,2.4,60.3,1.7,2.548476454
"Monroe County, Indiana",168.5,43841,144705,24,28.4,2.36,36,6.9,3.932688732
"Indian River County, Florida",167.3,47548,147919,14.7,50.7,2.44,51.7,12.2,5.396074172
"Washington County, Missouri",207,34581,24788,25.5,40.1,2.67,50.1,12.2,4.671312865
"Gregory County, South Dakota",169.4,36836,4201,18.3,47.5,2.12,57.3,2.1,10.70422535
"Taylor County, Georgia",161.2,32815,8330,25.4,42.6,2.39,43.8,20.6,3.978779841
"Spencer County, Kentucky",180.9,67437,17894,8.8,40.5,2.72,64.1,6.4,6.220984215
"Wilkin County, Minnesota",122.5,54536,6396,10.3,43.7,2.29,56,2,7.810107198
"Florence County, Wisconsin",171.9,44562,4464,12.8,51.1,2.32,59.9,7.2,3.462050599
"Plaquemines Parish, Louisiana",180.7,51304,23495,16,36.5,2.7,52.2,4.7,6.549831829
"Dorchester County, Maryland",185.4,42279,32384,17.5,43.8,2.41,47.9,10.4,5.456570156
"Hardin County, Tennessee",185.9,36285,25756,21.7,44.8,2.58,51.2,13.9,4.906586148
"Glenn County, California",165.2,43755,28017,17.1,37.2,2.92,51.4,12.6,6.12741125
"Pierce County, North Dakota",106.5,39572,4312,11.6,46.9,2.08,58.1,0.9,9.305373526
"Marin County, California",135.2,94549,261221,8.8,45.4,2.41,51.8,5.7,5.448237059
"Seminole County, Oklahoma",208.9,35964,25548,24.7,39.7,2.7,48.8,8.4,6.579419147
"Walker County, Texas",164.6,39984,70699,26.3,35,2.37,38.5,4.4,3.854536397
"Hardin County, Iowa",169.8,53277,17367,11.7,44.7,2.37,55.2,4.9,4.732327714
"Cavalier County, North Dakota",170.7,54057,3828,9,50.8,2.17,66,0.8,7.1197411
"Whiteside County, Illinois",190.9,49895,57079,12.2,42.7,2.4,52.7,8.1,5.75990637
"McLean County, North Dakota",153.1,56616,9744,10.1,47.1,2.18,64.2,1.6,6.094022055
"Tunica County, Mississippi",236.9,30689,10343,27.9,32.2,2.6,35.3,12.4,6.144623454
"Stone County, Mississippi",214.2,41136,18070,19.5,36.8,3,49.3,9.7,6.422857143
"Coryell County, Texas",184.5,47018,75503,14.8,30.6,2.86,50.4,9.5,6.044769217
"Liberty County, Florida",220.4,38473,8331,24.7,37.6,2.77,41.8,10.2,8.315256688
"Emmet County, Michigan",168,50191,33161,11.6,44.3,2.33,57.5,8.4,5.055523086
"Eureka County, Nevada",178.7,70535,2016,9.8,43.9,2.17,64.7,4.7,2.412868633
"Greenwood County, South Carolina",182.4,38878,69838,22.1,38.9,2.52,44.6,12.9,4.631760644
"Dyer County, Tennessee",185.6,43425,37893,19.6,40.3,2.51,51.7,6.6,6.483677849
"Mahoning County, Ohio",190.7,41316,231900,18.9,43.3,2.32,45.1,9.5,4.348522463
"Beltrami County, Minnesota",162.6,43706,45672,18.5,33.3,2.59,44.2,10.6,6.561704535
"Jackson County, Kentucky",261,29090,13352,26.8,39.8,2.39,59.2,12.3,6.838709677
"Blaine County, Montana",170.1,35740,6577,25.2,34.5,2.87,46.6,13.4,8.100358423
"Treutlen County, Georgia",193.7,32536,6785,27.1,42.8,2.38,41.6,5.4,1.448321264
"Alleghany County, North Carolina",157.1,35266,10837,20.5,47.2,2.25,63,10.5,5.062082139
"Duchesne County, Utah",155.5,61976,20862,11.6,30.2,2.94,65,5.2,10.01338091
"Buncombe County, North Carolina",162.7,47296,253178,13.9,41.1,2.36,47.8,7,4.175372554
"Union County, Arkansas",218.7,40841,40144,23.1,39.7,2.43,50.8,9.7,5.453756912
"Crawford County, Michigan",178.6,41101,13801,16.5,49.3,2.3,55.1,12,3.797949107
